Var1,Node_contributions
x21003_0_0,9.27960654422317
x21003_2_0,14.5548450263277
x31_0_0,22.1685081298669
x25094_2_0,43.8158275076741
x25194_2_0,7.41852020197931
x25294_2_0,28.2426467114033
x25394_2_0,17.396353507461
x25494_2_0,8.16943128651893
x25594_2_0,32.6938796573522
x25694_2_0,5.81798201622292
x25794_2_0,29.660079082494
x25894_2_0,25.3873299606616
x12673_2_0,3.93729921068087
x12673_2_1,4.11356313505186
x12679_2_0,3.93729893700674
x12679_2_1,4.11356415699742
x12682_2_0,2.94146354674041
x12682_2_1,2.27670965972087
x12685_2_0,3.86765870478491
x12685_2_1,2.28460895240097
x12686_2_0,2.94146335792012
x12686_2_1,2.27670992771265
x12702_2_0,1.85947196833214
x12702_2_1,1.11474185659915
x22420_2_0,4.61711069536063
x22421_2_0,9.48126133048061
x22423_2_0,4.2686957498939
x22424_2_0,2.65558262725497
x22425_2_0,4.38438515532761
x22426_2_0,5.83196875395313
x22427_2_0,4.05527621256447
x25000_2_0,45.91865448197
x25001_2_0,29.8138286171746
x25002_2_0,46.0318706745586
x25003_2_0,39.0810407204813
x25004_2_0,40.3713087729436
x25005_2_0,23.5905226782703
x25006_2_0,50.9914872805225
x25007_2_0,18.2497867666497
x25008_2_0,46.6869195582195
x25009_2_0,26.3768936834641
x25010_2_0,56.1123963203478
x25011_2_0,42.8151355975677
x25012_2_0,39.9743188919096
x25013_2_0,19.9982704619624
x25014_2_0,15.8739459313345
x25015_2_0,31.601785051281
x25016_2_0,32.0190935140743
x25017_2_0,24.4657722473791
x25018_2_0,25.2570824152221
x25019_2_0,20.0323537008193
x25020_2_0,26.4255138779055
x25021_2_0,10.1445431947142
x25022_2_0,7.17584178003037
x25023_2_0,17.7222787709641
x25024_2_0,27.7160496017598
x25025_2_0,42.5783321706368
x25026_2_0,4.54398704736817
x25027_2_0,4.54399834310369
x25028_2_0,4.5439824546564
x25029_2_0,4.54399192019392
x25030_2_0,4.54398489640205
x25031_2_0,4.54399060672453
x25032_2_0,4.54397935324912
x25033_2_0,4.54399405597215
x25034_2_0,4.54397528050465
x25035_2_0,4.54397200100879
x25036_2_0,4.54397379637297
x25037_2_0,4.54397568776985
x25038_2_0,4.54399046706072
x25039_2_0,4.54398970818942
x25056_2_0,25.2868874584251
x25057_2_0,8.13752037862847
x25058_2_0,51.6179441846183
x25059_2_0,46.9937972079609
x25060_2_0,36.8371403554509
x25061_2_0,37.5898133833225
x25062_2_0,21.6238986787176
x25063_2_0,19.3234338993814
x25064_2_0,23.5447962875359
x25065_2_0,19.7544488883359
x25066_2_0,14.2607594392772
x25067_2_0,7.7613477517711
x25068_2_0,28.533303775676
x25069_2_0,27.4360090077453
x25070_2_0,32.3342863302932
x25071_2_0,23.7205873275905
x25072_2_0,41.1835442763013
x25073_2_0,44.7046975790372
x25074_2_0,31.4679009457381
x25075_2_0,24.5386755872541
x25076_2_0,32.8859368266076
x25077_2_0,27.5152289084946
x25078_2_0,60.1590324362474
x25079_2_0,57.8734941833501
x25080_2_0,29.5844122489083
x25081_2_0,31.6486972956779
x25082_2_0,34.1967821241746
x25083_2_0,34.160240902478
x25084_2_0,52.9643772672257
x25085_2_0,52.8292234589325
x25086_2_0,47.8492484821686
x25087_2_0,32.4440569607188
x25088_2_0,52.2773543260725
x25089_2_0,45.6842281726943
x25090_2_0,39.2690908575642
x25091_2_0,43.9636738838311
x25092_2_0,22.1209604856829
x25093_2_0,16.3838510914736
x25094_2_0_1,43.8158275076741
x25095_2_0,21.6074182797364
x25096_2_0,48.352463079082
x25097_2_0,48.3158045775934
x25098_2_0,39.2849670671762
x25099_2_0,58.3662779929804
x25100_2_0,23.5318500460844
x25101_2_0,21.2890030785145
x25102_2_0,28.7262787947506
x25103_2_0,22.1249421465196
x25104_2_0,13.4884590927841
x25105_2_0,11.3406081086223
x25106_2_0,56.9988608495757
x25107_2_0,49.4346733913963
x25108_2_0,40.1233691862787
x25109_2_0,34.1290294874006
x25110_2_0,12.177273093717
x25111_2_0,7.57689930805627
x25112_2_0,6.06931016878507
x25113_2_0,5.51190681969163
x25114_2_0,20.6123766912601
x25115_2_0,21.7362147094148
x25116_2_0,13.3614979217367
x25117_2_0,14.0107412942996
x25118_2_0,14.5655309005424
x25119_2_0,12.3542665739214
x25120_2_0,56.991594117287
x25121_2_0,59.5399614866878
x25122_2_0,40.2905365466564
x25123_2_0,26.5526600429337
x25124_2_0,44.2931506640844
x25125_2_0,29.3498108663031
x25126_2_0,52.0485720277525
x25127_2_0,55.1934578848724
x25128_2_0,72.1964279466423
x25129_2_0,63.1314531127479
